p_leak,tau,lens_type,lens_id,rm,stability,error
0.02,1,and,,0.317333333333,0.743,0.331333333333
0.02,1,parity,,1.12757025938e-16,0.98,0.02
0.02,1,random,0,0.01,0.5,0.499
0.02,1,random,1,1.12757025938e-16,0.98,0.02
0.02,1,random,10,0.002,0.5,0.495
0.02,1,random,11,0.002,0.5,0.495
0.02,1,random,12,0.01,0.5,0.499
0.02,1,random,13,0.01,0.5,0.499
0.02,1,random,14,0.01,0.5,0.499
0.02,1,random,15,1.12757025938e-16,0.98,0.02
0.02,1,random,16,0.002,0.5,0.495
0.02,1,random,17,1.12757025938e-16,0.98,0.02
0.02,1,random,18,0.01,0.5,0.499
0.02,1,random,19,0.002,0.5,0.495
0.02,1,random,2,0.01,0.5,0.499
0.02,1,random,20,0.01,0.5,0.499
0.02,1,random,21,0.002,0.5,0.495
0.02,1,random,22,0.002,0.5,0.495
0.02,1,random,23,0.01,0.5,0.499
0.02,1,random,24,0.002,0.5,0.495
0.02,1,random,25,0.002,0.5,0.495
0.02,1,random,26,0.002,0.5,0.495
0.02,1,random,27,1.12757025938e-16,0.98,0.02
0.02,1,random,28,0.01,0.5,0.499
0.02,1,random,29,1.12757025938e-16,0.98,0.02
0.02,1,random,3,0.002,0.5,0.495
0.02,1,random,30,1.12757025938e-16,0.98,0.02
0.02,1,random,31,0.01,0.5,0.499
0.02,1,random,32,0.002,0.5,0.495
0.02,1,random,33,1.12757025938e-16,0.98,0.02
0.02,1,random,34,0.002,0.5,0.495
0.02,1,random,35,1.12757025938e-16,0.98,0.02
0.02,1,random,36,1.12757025938e-16,0.98,0.02
0.02,1,random,37,0.002,0.5,0.495
0.02,1,random,38,1.12757025938e-16,0.98,0.02
0.02,1,random,39,1.12757025938e-16,0.98,0.02
0.02,1,random,4,0.01,0.5,0.499
0.02,1,random,40,0.01,0.5,0.499
0.02,1,random,41,0.01,0.5,0.499
0.02,1,random,42,0.002,0.5,0.495
0.02,1,random,43,0.01,0.5,0.499
0.02,1,random,44,0.01,0.5,0.499
0.02,1,random,45,0.002,0.5,0.495
0.02,1,random,46,0.002,0.5,0.495
0.02,1,random,47,0.002,0.5,0.495
0.02,1,random,48,0.002,0.5,0.495
0.02,1,random,49,0.01,0.5,0.499
0.02,1,random,5,0.01,0.5,0.499
0.02,1,random,50,0.002,0.5,0.495
0.02,1,random,51,1.12757025938e-16,0.98,0.02
0.02,1,random,52,0.01,0.5,0.499
0.02,1,random,53,1.12757025938e-16,0.98,0.02
0.02,1,random,54,0.01,0.5,0.499
0.02,1,random,55,1.12757025938e-16,0.98,0.02
0.02,1,random,56,0.002,0.5,0.495
0.02,1,random,57,1.12757025938e-16,0.98,0.02
0.02,1,random,58,1.12757025938e-16,0.98,0.02
0.02,1,random,59,0.002,0.5,0.495
0.02,1,random,6,1.12757025938e-16,0.98,0.02
0.02,1,random,7,0.002,0.5,0.495
0.02,1,random,8,1.12757025938e-16,0.98,0.02
0.02,1,random,9,1.12757025938e-16,0.98,0.02
0.02,2,and,,0.30464,0.73824,0.32816
0.02,2,parity,,5.89805981832e-17,0.9608,0.0392
0.02,2,random,0,0.00192,0.5,0.495
0.02,2,random,1,0.0096,0.5,0.499
0.02,2,random,10,0.0096,0.5,0.499
0.02,2,random,11,0.00192,0.5,0.495
0.02,2,random,12,5.89805981832e-17,0.9608,0.0392
0.02,2,random,13,0.00192,0.5,0.495
0.02,2,random,14,5.89805981832e-17,0.9608,0.0392
0.02,2,random,15,0.0096,0.5,0.499
