p_leak,tau,parity_rm,and_rm,median_random_rm,parity_stability,and_stability,parity_error,and_error,win_vs_random_median
0.02,1,1.12757025938e-16,0.317333333333,0.002,0.98,0.743,0.02,0.331333333333,1
0.02,2,5.89805981832e-17,0.30464,0.00192,0.9608,0.73824,0.0392,0.32816,1
0.02,4,0,0.280756224,0.001769472,0.92467328,0.729283584,0.07532672,0.322189056,1
0.05,1,1.11022302463e-16,0.293333333333,0.005,0.95,0.7325,0.05,0.328333333333,1
0.05,2,1.11022302463e-16,0.264,0.0045,0.905,0.7215,0.095,0.321,1
0.05,4,6.93889390391e-17,0.21384,0.003645,0.82805,0.70269,0.17195,0.30846,1
0.1,1,0,0.253333333333,0.01,0.9,0.715,0.1,0.323333333333,1
0.1,2,6.93889390391e-17,0.202666666667,0.008,0.82,0.696,0.18,0.310666666667,1
0.1,4,8.32667268469e-17,0.129706666667,0.00512,0.7048,0.66864,0.2952,0.292426666667,1
0.2,1,0,0.173333333333,0.02,0.8,0.68,0.2,0.313333333333,1
0.2,2,1.38777878078e-16,0.104,0.012,0.68,0.654,0.32,0.296,1
0.2,4,2.77555756156e-17,0.03744,0.00432,0.5648,0.62904,0.4352,0.27936,1
